"","x"
"1111",98376055.8125468
"1112",118446470.66696
"1113",111183767.613415
"1114",98571989.1629354
"1115",104554543.137787
"1116",109335392.574406
"1117",111362638.033144
"1118",113024062.549408
"1119",112039822.06222
"1120",113806481.496761
"1121",119923068.032798
"1122",158169055.264474
"1123",103546825.02303
"1124",108642733.770196
"1125",90276769.5879638
"1126",133850089.426282
"1127",107981964.447154
"1128",147867409.029105
"1129",106244624.710549
"1130",121013626.581396
"1131",129825442.163851
"1132",105075477.182592
"1133",106492028.692844
"1134",103986713.34022
"1135",125829230.116671
"1136",102160982.616418
"1137",97763656.3643282
"1138",113767706.300767
"1139",115799562.934796
"1140",106229842.317292
"1141",96426674.0418846
"1142",100000815.348667
"1143",109649025.648658
"1144",107596873.404654
"1145",115664326.318336
"1146",104220559.759898
"1147",128001942.57811
"1148",108949663.969982
"1149",113368166.459548
"1150",100889144.272181
"1151",104676707.184126
"1152",109072821.564627
"1153",108150255.218964
"1154",99439676.7486275
"1155",109971791.936579
"1156",111795819.084493
"1157",116539744.360555
"1158",119492941.372978
"1159",122834628.91355
"1160",120349466.502093
"1161",99908080.1084085
"1162",117200253.976939
"1163",162630100.066663
"1164",107783255.641098
"1165",101873717.165946
"1166",104086809.679343
"1167",113994313.895418
"1168",102146074.130763
"1169",100749052.099381
"1170",102607287.839691
"1171",144059638.979496
"1172",99168590.8732652
"1173",118457989.652075
"1174",121246104.949894
"1175",106668219.746082
"1176",116834704.759798
"1177",128497310.368312
"1178",110914265.069266
"1179",112963996.401776
"1180",109879227.753067
"1181",118539299.259455
"1182",109954429.639137
"1183",98012799.5298305
"1184",108058478.918101
"1185",132579838.487849
"1186",92668853.5419828
"1187",111404319.270533
"1188",110531503.45087
"1189",99582859.4780135
"1190",114137628.955708
"1191",119266934.511038
"1192",111618689.44973
"1193",101587355.871369
"1194",105002647.716707
"1195",117926590.891636
"1196",96497701.5312018
"1197",120857479.683826
"1198",107483046.539824
"1199",123431026.756115
"1200",104152077.693001
"1201",104385515.53162
"1202",108323989.694637
"1203",140082341.535755
"1204",109198059.610149
"1205",101254578.786717
"1206",121425058.761136
"1207",161664962.685068
"1208",99234101.8531694
"1209",111619373.526967
"1210",124536009.055654
"1211",114465937.811238
"1212",105860862.627376
"1213",101845752.69066
"1214",102689828.897179
"1215",108568196.495388
"1216",120384292.858826
"1217",116530169.407992
"1218",127834828.860483
"1219",101771186.610021
"1220",115627558.418271
"1221",96992083.3131798
"1222",106971572.033208
"1223",105961538.753581
"1224",109845183.973762
"1225",106202479.654058
"1226",124050461.277211
"1227",108294133.976904
"1228",124130159.383766
"1229",258940930.686761
"1230",96487079.7094798
"1231",104233298.757153
"1232",103204086.660175
"1233",108249988.851785
"1234",110311278.985515
"1235",112263437.254414
"1236",139315824.499964
"1237",99208129.81352
"1238",112302748.94273
"1239",99007194.0781807
"1240",107290921.70557
"1241",115851972.806304
"1242",96026672.3626795
"1243",105603786.408213
"1244",98271966.1600215
"1245",118853214.343064
"1246",127713222.87665
"1247",98560296.3895825
"1248",98102373.3362131
"1249",110402748.101764
"1250",100193314.231505
"1251",97036145.6612479
"1252",110378086.27262
"1253",109305129.281821
"1254",104594903.822213
"1255",101659741.246337
"1256",107755050.412714
"1257",108532262.850989
"1258",97539785.6251684
"1259",105621406.446761
"1260",106093211.463467
"1261",116813482.635837
"1262",118272968.142711
"1263",96634375.2322198
"1264",110836832.277877
"1265",110149675.292215
"1266",115950606.904406
"1267",111209942.906566
"1268",110185480.223843
"1269",102757526.370807
"1270",109278272.877147
"1271",109913184.329526
"1272",109924615.764947
"1273",105839666.056646
"1274",113258550.058143
"1275",127765359.615368
"1276",130213354.368109
"1277",109070097.245344
"1278",115703396.370064
"1279",113118695.304262
"1280",107264505.018891
"1281",113235179.92624
"1282",107833111.414929
"1283",108372121.853335
"1284",120183471.037376
"1285",116663396.61139
"1286",111246946.833177
"1287",138128852.994395
"1288",95197763.8528384
"1289",114286821.199094
"1290",104806908.19633
"1291",111194836.556454
"1292",118907841.193555
"1293",98884737.1710523
"1294",102211378.306351
"1295",110680331.480694
"1296",102902385.543165
"1297",106783564.155372
"1298",97109819.266455
"1299",105514924.597206
"1300",123229007.976711
"1301",114414269.530956
"1302",113640814.164401
"1303",134581432.351934
"1304",104279386.721079
"1305",112572175.123044
"1306",97017616.0309672
"1307",116082530.52781
"1308",108562715.767264
"1309",117769128.461774
"1310",106057806.126991
"1311",111953306.135931
"1312",109532738.134218
"1313",108199610.425455
"1314",118948252.140486
"1315",100673159.355892
"1316",150716020.451253
"1317",107424084.462207
"1318",120444404.939858
"1319",111671830.308114
"1320",129430488.934269
"1321",103367020.491766
"1322",103648018.039758
"1323",102600562.405603
"1324",98858150.8878479
"1325",97297090.8755951
"1326",105757181.742154
"1327",107093328.230836
"1328",106486706.531024
"1329",107851232.491577
"1330",110165692.092435
"1331",129731075.074028
"1332",115951176.66817
"1333",98925884.0769743
"1334",104818077.548369
"1335",108187125.216431
"1336",104282401.563394
"1337",106307129.841608
"1338",105322396.210909
"1339",111797714.035735
"1340",107590087.605257
"1341",114127716.58131
"1342",105052374.984839
"1343",124177444.592511
"1344",127010752.432332
"1345",108624222.523006
"1346",139351402.685823
"1347",104967459.587617
"1348",119246928.295285
