"","x"
"896",104772877.65992
"897",111142401.868418
"898",136961046.769916
"899",132216423.116209
"900",139807949.516892
"901",101812367.288755
"902",130274231.030053
"903",108008389.968257
"904",108626217.347392
"905",101121527.886082
"906",107832451.618859
"907",106321732.314582
"908",105825577.373776
"909",118324331.30704
"910",113946430.893556
"911",123246524.775313
"912",104751703.655909
"913",118145812.356866
"914",103135389.016817
"915",115065429.0784
"916",105689383.341025
"917",124114024.93034
"918",121167246.259176
"919",129127946.904604
"920",122562864.364117
"921",104697142.920993
"922",108947945.690376
"923",112383804.290473
"924",137359376.288684
"925",101626825.03084
"926",120018726.606006
"927",107559901.565839
"928",98841275.52703
"929",101483733.922133
"930",110544973.612586
"931",98452894.4496515
"932",103433029.996674
"933",112989010.207202
"934",103422016.07386
"935",100270240.860047
"936",124052665.170217
"937",103996849.13394
"938",121103428.858801
"939",109593905.230575
"940",120003231.758578
"941",103594246.219776
"942",96590460.3800344
"943",94464727.0300864
"944",116838802.554438
"945",119834875.604254
"946",103218316.879679
"947",95843047.1650835
"948",107384220.96533
"949",113016857.810149
"950",112886100.706547
"951",100264768.901194
"952",145383510.100118
"953",118596989.024427
"954",116237132.433525
"955",103960450.911197
"956",117499630.611112
"957",105964715.244354
"958",127840485.797606
"959",97863992.9582299
"960",121802652.731269
"961",106064677.033986
"962",109410261.25745
"963",108055991.15929
"964",108127545.642684
"965",108562394.503178
"966",105331538.650253
"967",101337922.597548
"968",143236352.622308
"969",96630343.6470011
"970",116109908.194916
"971",100271641.471355
"972",107387982.244363
"973",125549037.440054
"974",112788290.678905
"975",207016559.180707
"976",132961870.563501
"977",124169248.572707
"978",131447558.608356
"979",127159348.021491
"980",102699789.072477
"981",102659222.859506
"982",107047489.248346
"983",97899157.78688
"984",112728213.117778
"985",112323966.836254
"986",112433291.698953
"987",263002328.847407
"988",110035726.121089
"989",106628158.707867
"990",112957360.50312
"991",113576047.540256
"992",100820763.445939
"993",99545713.3119329
"994",115236056.708824
"995",103836539.512326
"996",124157195.274809
"997",122352955.925703
"998",109081981.512157
"999",117170154.966791
"1000",111838871.493814
